Price,Close,High,Low,Open,Volume
Ticker,ANTM.JK,ANTM.JK,ANTM.JK,ANTM.JK,ANTM.JK
Date,,,,,
2020-10-01,606.3898315429688,610.5149324378189,585.7643270687181,585.7643270687181,45502700
2020-10-02,598.1396484375,606.3898504849137,581.6392443426724,606.3898504849137,56903300
2020-10-05,594.0146484375,606.3899536132812,589.8895467122396,606.3899536132812,20089800
2020-10-06,594.0146484375,606.3899536132812,589.8895467122396,602.2648518880209,39918300
2020-10-07,589.8895263671875,594.0146279501748,585.7644247842002,589.8895263671875,22001600
2020-10-08,594.0146484375,602.2648518880209,589.8895467122396,594.0146484375,28843100
2020-10-09,631.1405029296875,639.3907055823631,598.1396923189849,602.2647936453227,175465400
2020-10-12,643.5158081054688,651.7660107734876,631.1405041034405,643.5158081054688,108451600
2020-10-13,631.1405029296875,643.5158069087009,627.0154016033497,643.5158069087009,47798000
2020-10-14,787.894287109375,787.894287109375,639.3906518426866,639.3906518426866,1116793100
2020-10-15,771.3939208984375,973.5238787809159,759.0186173546124,841.5206409801137,1510069900
2020-10-16,775.5189819335938,820.8950925786445,759.0185780626663,792.0193858045213,638756000
2020-10-19,870.3964233398438,870.3964233398438,783.7692911591009,800.2696972887662,1158293800
2020-10-20,853.8959350585938,878.6465418718864,841.5206316519475,870.3963396007888,789265700
2020-10-21,907.5222778320312,944.6481891978871,866.2712652033026,866.2712652033026,1370011500
2020-10-22,895.1468505859375,924.0225554435484,886.8966491980486,907.5221526677707,465407900
2020-10-23,895.1468505859375,924.0225554435484,874.5213471162155,903.3970519738264,392722300
2020-10-26,874.5215454101562,903.3972568152085,874.5215454101562,899.2721551859154,183290100
2020-10-27,870.3964233398438,903.3972355991743,866.2713218074274,866.2713218074274,333734100
2020-11-02,907.5222778320312,928.1477841463957,870.3963664661754,878.6465689919212,571253300
2020-11-03,915.7725830078125,932.2729899088541,911.6474812825521,919.8976847330729,317572700
2020-11-04,911.6473388671875,944.6481475139635,907.5222377863405,928.1477431905755,410216500
2020-11-05,928.1478271484375,944.6482329644097,919.8976242404514,932.2729286024305,240422000
2020-11-06,928.1478271484375,940.5231315104166,919.8976242404514,940.5231315104166,202159600
2020-11-09,1023.025146484375,1027.1502478814893,936.3980171449722,940.5231185420866,846313500
2020-11-10,990.0242919921875,1035.4004053751628,985.8991907755534,1031.2753041585286,604934300
2020-11-11,985.899169921875,1023.0250800862971,977.6489676631146,998.2744733100158,628878500
2020-11-12,965.2736206054688,994.1493272047776,961.1485196627103,981.7740243765024,200055900
2020-11-13,965.2736206054688,973.5238224909856,952.8983177771935,957.0234187199519,172842400
2020-11-16,977.64892578125,998.2744305445674,973.5238248285864,990.0242286392404,213486900
2020-11-17,981.7741088867188,1002.3996153759355,969.3988049931886,977.6490075888754,300731400
2020-11-18,1023.025146484375,1056.0259576612902,1002.3996394988029,1006.5247408959173,853419900
2020-11-19,1018.9000854492188,1027.150288570265,1006.5247807676493,1023.0251870097419,286394100
2020-11-20,998.2745361328125,1023.025144466684,990.0243333548555,1018.9000430777054,220936900
2020-11-23,1035.4005126953125,1035.4005126953125,1002.3996995416771,1010.6499028300859,371401400
2020-11-24,1018.9000854492188,1035.4004916913113,1006.5247807676493,1035.4004916913113,351292500
2020-11-25,994.1493530273438,1023.0250603766857,985.8991509275319,1018.8999593267797,303117600
2020-11-26,998.2745361328125,1010.6498402997482,985.8992319658769,990.0243333548555,147126800
2020-11-27,1014.7748413085938,1031.2752452323107,1002.3995383658059,1014.7748413085938,308954300
